,cluster_id,cluster_name,title,total_price,condition,details,num_images,target
17,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997)  ",35.45,  Very Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",3,1
18,13,die hard arcade," ***Die Hard Arcade (Sega Saturn,1997)***  ",44.45,  Very Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1,1
23,13,die hard arcade," COMPLETE - Die Hard Arcade (Sega Saturn, 1997) - WORKS GREAT  ",49.44,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1,1
25,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997)  ",53.45,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",2,1
91,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997) Disc Only FREE SHIPPING  ",29.45,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1,1
96,13,die hard arcade," Die Hard Arcade (Sega Saturn,1997) *RARE*Very Fun*  ",45.4,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",5,1
98,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997) Complete  ",43.13,  Very Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1,1
99,13,die hard arcade, Die Hard Arcade  ,76.44,  Like New ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",4,1
114,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997)  ",51.4,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",3,1
124,13,die hard arcade, Die Hard Arcade Sega Saturn Complete And Rare  ,36.45,  Very Good ,,5,1
128,13,die hard arcade, Die Hard Arcade Sega Saturn complete in box CIB  ,49.44,  Acceptable ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",3,1
134,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997)  ",53.95,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1,1
143,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997)  ",43.45,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",3,1
144,13,die hard arcade," Die Hard Arcade (Sega Saturn, 1997)  ",52.45,  Very Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",2,1
